,date,kst,TEMP,longitude,latitude
0,20230801,0:00,285.057,-9.592066666666666,47.37896666666667
1,20230801,0:00,285.134,-9.58895,47.37996666666666
2,20230801,0:01,285.324,-9.586033333333337,47.381483333333335
3,20230801,0:01,285.372,-9.583116666666664,47.38301666666666
4,20230801,0:02,285.743,-9.580183333333334,47.38463333333334
5,20230801,0:02,285.895,-9.577216666666668,47.38611666666667
6,20230801,0:03,285.708,-9.5741,47.38763333333333
7,20230801,0:03,285.265,-9.571166666666668,47.38915
8,20230801,0:04,284.958,-9.568233333333334,47.39065000000001
9,20230801,0:04,284.822,-9.565283333333332,47.39228333333334
10,20230801,0:05,284.694,-9.56235,47.393816666666666
11,20230801,0:05,284.86,-9.55925,47.39536666666666
12,20230801,0:06,284.985,-9.55635,47.396883333333335
13,20230801,0:06,285.337,-9.5544,47.39840000000001
14,20230801,0:07,285.383,-9.551483333333334,47.4
15,20230801,0:07,284.996,-9.54855,47.40151666666667
16,20230801,0:08,284.836,-9.5454,47.40303333333333
17,20230801,0:08,284.2,-9.542433333333332,47.40451666666666
18,20230801,0:09,284.313,-9.539466666666668,47.4061
19,20230801,0:09,284.358,-9.53655,47.4076
20,20230801,0:10,284.926,-9.533616666666669,47.4091
21,20230801,0:10,285.196,-9.530516666666667,47.41061666666666
22,20230801,0:11,285.214,-9.5276,47.41213333333334
23,20230801,0:11,285.26,-9.524683333333334,47.413733333333326
24,20230801,0:12,285.142,-9.521766666666668,47.41521666666666
25,20230801,0:12,284.982,-9.518833333333331,47.41621666666666
26,20230801,0:13,284.942,-9.5157,47.41768333333333
27,20230801,0:13,284.953,-9.512766666666666,47.41918333333333
28,20230801,0:14,284.822,-9.509833333333336,47.42078333333334
29,20230801,0:14,284.729,-9.506883333333333,47.42226666666667
30,20230801,0:15,284.913,-9.5039,47.423750000000005
31,20230801,0:15,284.481,-9.50075,47.42521666666666
32,20230801,0:16,284.19,-9.497783333333333,47.42668333333333
33,20230801,0:16,284.23,-9.4948,47.42823333333334
34,20230801,0:17,284.574,-9.491816666666669,47.4297
35,20230801,0:17,284.71,-9.48865,47.43116666666666
36,20230801,0:18,284.934,-9.485716666666669,47.43263333333333
37,20230801,0:18,284.403,-9.483733333333332,47.43411666666666
38,20230801,0:19,283.816,-9.480783333333331,47.43571666666666
39,20230801,0:19,283.581,-9.477783333333331,47.43715
40,20230801,0:20,283.731,-9.474783333333331,47.438566666666674
41,20230801,0:20,283.8,-9.47155,47.43998333333334
42,20230801,0:21,283.443,-9.468533333333331,47.44141666666666
43,20230801,0:21,283.509,-9.465516666666668,47.442933333333336
44,20230801,0:22,283.661,-9.462483333333331,47.44435
45,20230801,0:22,284.056,-9.45925,47.44576666666667
46,20230801,0:23,284.475,-9.456233333333332,47.4472
47,20230801,0:23,284.654,-9.453216666666666,47.44861666666667
48,20230801,0:24,284.726,-9.4502,47.45015
49,20230801,0:24,284.894,-9.447183333333331,47.4511
50,20230801,0:25,285.076,-9.44395,47.45255
51,20230801,0:25,285.113,-9.440933333333334,47.453983333333326
52,20230801,0:26,285.244,-9.4379,47.45539999999999
53,20230801,0:26,285.313,-9.4349,47.45693333333334
54,20230801,0:27,285.046,-9.43185,47.458333333333336
55,20230801,0:27,284.838,-9.4286,47.45978333333334
56,20230801,0:28,284.734,-9.425583333333332,47.461216666666665
57,20230801,0:28,284.339,-9.422583333333334,47.46276666666666
58,20230801,0:29,283.731,-9.419566666666666,47.46418333333333
59,20230801,0:29,283.483,-9.41655,47.4656
60,20230801,0:30,284.206,-9.413333333333332,47.46701666666666
61,20230801,0:30,284.16,-9.410316666666668,47.46845
62,20230801,0:31,283.741,-9.4083,47.47
63,20230801,0:31,284.102,-9.4053,47.47141666666666
64,20230801,0:32,284.601,-9.402283333333331,47.47285
65,20230801,0:32,284.91,-9.39905,47.47426666666667
66,20230801,0:33,284.643,-9.396016666666666,47.4757
67,20230801,0:33,284.318,-9.393,47.47721666666666
68,20230801,0:34,284.062,-9.39,47.47866666666667
69,20230801,0:34,283.824,-9.3868,47.48009999999999
70,20230801,0:35,283.99,-9.383783333333334,47.48153333333333
71,20230801,0:35,284.112,-9.380783333333332,47.48299999999999
72,20230801,0:36,284.238,-9.377783333333332,47.48453333333334
73,20230801,0:36,284.51,-9.374783333333331,47.48596666666667
74,20230801,0:37,284.305,-9.371533333333334,47.486916666666666
75,20230801,0:37,283.998,-9.368483333333334,47.48831666666667
76,20230801,0:38,284.243,-9.36545,47.489716666666666
77,20230801,0:38,285.006,-9.3624,47.49123333333333
78,20230801,0:39,285.118,-9.35935,47.49266666666667
79,20230801,0:39,285.012,-9.356116666666669,47.49406666666667
80,20230801,0:40,284.937,-9.353066666666669,47.49549999999999
81,20230801,0:40,284.852,-9.35005,47.49705000000001
82,20230801,0:41,284.852,-9.347,47.4985
83,20230801,0:41,284.382,-9.343966666666669,47.499950000000005
84,20230801,0:42,284.027,-9.340716666666667,47.50138333333333
85,20230801,0:42,284.166,-9.337666666666667,47.50281666666667
86,20230801,0:43,284.715,-9.335666666666668,47.50436666666666
87,20230801,0:43,285.196,-9.33265,47.50583333333334
88,20230801,0:44,285.113,-9.32965,47.507250000000006
89,20230801,0:44,284.718,-9.326383333333332,47.50868333333333
90,20230801,0:45,284.828,-9.3233,47.510066666666674
91,20230801,0:45,285.092,-9.320233333333334,47.511566666666674
92,20230801,0:46,285.062,-9.317166666666669,47.51296666666667
93,20230801,0:46,284.694,-9.3139,47.514383333333335
94,20230801,0:47,284.048,-9.310883333333331,47.51581666666666
