,date,kst,ME(S) CYL EXH GAS MEAN TEMP
0,20230801,0:00,285.057
1,20230801,0:00,285.134
2,20230801,0:01,285.324
3,20230801,0:01,285.372
4,20230801,0:02,285.743
5,20230801,0:02,285.895
6,20230801,0:03,285.708
7,20230801,0:03,285.265
8,20230801,0:04,284.958
9,20230801,0:04,284.822
10,20230801,0:05,284.694
11,20230801,0:05,284.86
12,20230801,0:06,284.985
13,20230801,0:06,285.337
14,20230801,0:07,285.383
15,20230801,0:07,284.996
16,20230801,0:08,284.836
17,20230801,0:08,284.2
18,20230801,0:09,284.313
19,20230801,0:09,284.358
20,20230801,0:10,284.926
21,20230801,0:10,285.196
22,20230801,0:11,285.214
23,20230801,0:11,285.26
24,20230801,0:12,285.142
25,20230801,0:12,284.982
26,20230801,0:13,284.942
27,20230801,0:13,284.953
28,20230801,0:14,284.822
29,20230801,0:14,284.729
30,20230801,0:15,284.913
31,20230801,0:15,284.481
32,20230801,0:16,284.19
33,20230801,0:16,284.23
34,20230801,0:17,284.574
35,20230801,0:17,284.71
36,20230801,0:18,284.934
37,20230801,0:18,284.403
38,20230801,0:19,283.816
39,20230801,0:19,283.581
40,20230801,0:20,283.731
41,20230801,0:20,283.8
42,20230801,0:21,283.443
43,20230801,0:21,283.509
44,20230801,0:22,283.661
45,20230801,0:22,284.056
46,20230801,0:23,284.475
47,20230801,0:23,284.654
48,20230801,0:24,284.726
49,20230801,0:24,284.894
50,20230801,0:25,285.076
51,20230801,0:25,285.113
52,20230801,0:26,285.244
53,20230801,0:26,285.313
54,20230801,0:27,285.046
55,20230801,0:27,284.838
56,20230801,0:28,284.734
57,20230801,0:28,284.339
58,20230801,0:29,283.731
59,20230801,0:29,283.483
60,20230801,0:30,284.206
61,20230801,0:30,284.16
62,20230801,0:31,283.741
63,20230801,0:31,284.102
64,20230801,0:32,284.601
65,20230801,0:32,284.91
66,20230801,0:33,284.643
67,20230801,0:33,284.318
68,20230801,0:34,284.062
69,20230801,0:34,283.824
70,20230801,0:35,283.99
71,20230801,0:35,284.112
72,20230801,0:36,284.238
73,20230801,0:36,284.51
74,20230801,0:37,284.305
75,20230801,0:37,283.998
76,20230801,0:38,284.243
77,20230801,0:38,285.006
78,20230801,0:39,285.118
79,20230801,0:39,285.012
80,20230801,0:40,284.937
81,20230801,0:40,284.852
82,20230801,0:41,284.852
83,20230801,0:41,284.382
84,20230801,0:42,284.027
85,20230801,0:42,284.166
86,20230801,0:43,284.715
87,20230801,0:43,285.196
88,20230801,0:44,285.113
89,20230801,0:44,284.718
90,20230801,0:45,284.828
91,20230801,0:45,285.092
92,20230801,0:46,285.062
93,20230801,0:46,284.694
94,20230801,0:47,284.048
95,20230801,0:47,283.795
96,20230801,0:48,283.896
97,20230801,0:48,284.048
98,20230801,0:49,284.235
99,20230801,0:49,283.928
100,20230801,0:50,284.302
101,20230801,0:50,284.622
102,20230801,0:51,284.627
103,20230801,0:51,284.523
104,20230801,0:52,284.67
105,20230801,0:52,285.1
106,20230801,0:53,285.041
107,20230801,0:53,284.958
108,20230801,0:54,284.83
109,20230801,0:54,284.748
110,20230801,0:55,284.82
111,20230801,0:55,284.689
112,20230801,0:56,284.758
113,20230801,0:56,284.683
114,20230801,0:57,284.454
