date,kst,TEMP
20230801,0:00,285.057
20230801,0:00,285.134
20230801,0:01,285.324
20230801,0:01,285.372
20230801,0:02,285.743
20230801,0:02,285.895
20230801,0:03,285.708
20230801,0:03,285.265
20230801,0:04,284.958
20230801,0:04,284.822
20230801,0:05,284.694
20230801,0:05,284.86
20230801,0:06,284.985
20230801,0:06,285.337
20230801,0:07,285.383
20230801,0:07,284.996
20230801,0:08,284.836
20230801,0:08,284.2
20230801,0:09,284.313
20230801,0:09,284.358
20230801,0:10,284.926
20230801,0:10,285.196
20230801,0:11,285.214
20230801,0:11,285.26
20230801,0:12,285.142
20230801,0:12,284.982
20230801,0:13,284.942
20230801,0:13,284.953
20230801,0:14,284.822
20230801,0:14,284.729
20230801,0:15,284.913
20230801,0:15,284.481
20230801,0:16,284.19
20230801,0:16,284.23
20230801,0:17,284.574
20230801,0:17,284.71
20230801,0:18,284.934
20230801,0:18,284.403
20230801,0:19,283.816
20230801,0:19,283.581
20230801,0:20,283.731
20230801,0:20,283.8
20230801,0:21,283.443
20230801,0:21,283.509
20230801,0:22,283.661
20230801,0:22,284.056
20230801,0:23,284.475
20230801,0:23,284.654
20230801,0:24,284.726
20230801,0:24,284.894
20230801,0:25,285.076
20230801,0:25,285.113
20230801,0:26,285.244
20230801,0:26,285.313
20230801,0:27,285.046
20230801,0:27,284.838
20230801,0:28,284.734
20230801,0:28,284.339
20230801,0:29,283.731
20230801,0:29,283.483
20230801,0:30,284.206
20230801,0:30,284.16
20230801,0:31,283.741
20230801,0:31,284.102
20230801,0:32,284.601
20230801,0:32,284.91
20230801,0:33,284.643
20230801,0:33,284.318
20230801,0:34,284.062
20230801,0:34,283.824
20230801,0:35,283.99
20230801,0:35,284.112
20230801,0:36,284.238
20230801,0:36,284.51
20230801,0:37,284.305
20230801,0:37,283.998
20230801,0:38,284.243
20230801,0:38,285.006
20230801,0:39,285.118
20230801,0:39,285.012
20230801,0:40,284.937
20230801,0:40,284.852
20230801,0:41,284.852
20230801,0:41,284.382
20230801,0:42,284.027
20230801,0:42,284.166
20230801,0:43,284.715
20230801,0:43,285.196
20230801,0:44,285.113
20230801,0:44,284.718
20230801,0:45,284.828
20230801,0:45,285.092
20230801,0:46,285.062
20230801,0:46,284.694
20230801,0:47,284.048
20230801,0:47,283.795
20230801,0:48,283.896
20230801,0:48,284.048
20230801,0:49,284.235
20230801,0:49,283.928
20230801,0:50,284.302
20230801,0:50,284.622
20230801,0:51,284.627
20230801,0:51,284.523
20230801,0:52,284.67
20230801,0:52,285.1
20230801,0:53,285.041
20230801,0:53,284.958
20230801,0:54,284.83
20230801,0:54,284.748
20230801,0:55,284.82
20230801,0:55,284.689
20230801,0:56,284.758
20230801,0:56,284.683
20230801,0:57,284.454
20230801,0:57,284.425
20230801,0:58,284.542
20230801,0:58,284.686
20230801,0:59,284.633
20230801,0:59,284.566
20230801,1:00,284.238
20230801,1:00,284.31
20230801,1:01,284.24
20230801,1:01,284.611
20230801,1:02,284.481
20230801,1:02,284.665
20230801,1:03,285.263
20230801,1:03,285.022
20230801,1:04,284.99
20230801,1:04,284.966
20230801,1:05,285.028
20230801,1:05,284.849
20230801,1:06,284.982
20230801,1:06,285.129
20230801,1:07,285.34
20230801,1:07,285.076
20230801,1:08,285.361
20230801,1:08,285.585
20230801,1:09,285.62
20230801,1:09,285.628
20230801,1:10,285.148
20230801,1:10,284.337
20230801,1:11,283.952
20230801,1:11,284.283
20230801,1:12,284.366
20230801,1:12,284.385
20230801,1:13,284.275
20230801,1:13,284.393
20230801,1:14,284.662
20230801,1:14,284.569
20230801,1:15,284.264
20230801,1:15,284.342
20230801,1:16,284.262
20230801,1:16,284.297
20230801,1:17,284.609
20230801,1:17,284.63
20230801,1:18,284.654
20230801,1:18,284.371
20230801,1:19,284.801
20230801,1:19,284.953
20230801,1:20,284.886
20230801,1:20,284.371
